== shift:current [default] (remeasured)  (104 cases)
metric                      cand
lat_ms                      4.29
lat_ms_max                 31.00
lat_jitter_ms               5.63
pitch_err_cents             1.49
pitch_err_p95_cents         3.16
if_dev_cents                3.25
poly_pitch_err_cents       11.79
sinad_db                   61.94
sinad_poly_db              24.43
subharm_db                -88.88
hf_junk_db               -117.69
am_pp_db                    0.11
am_rate_hz                  1.06
lsd_db                      1.36
pre_echo_db              -138.22
flam_db                     1.30
attack_smear                0.87
disc_db                     0.07
fm_rough_cents              3.26
am_rough_db                 0.31
env_mod_db                  0.38
env_mod_note_db             0.34
env_mod_hi_db               0.60
grain_noise_p90_db        -52.70
level_db                    0.15
nonfinite                   0.00
cpu_ns_per_sample         263.50
cpu_worst_block_pct        41.88

remeasured 104 cases (0 skipped: missing wav/spec)
