== shift:env_match2 [default] (remeasured)  (104 cases)
metric                      cand
lat_ms                     11.32
lat_ms_max                 44.45
lat_jitter_ms               6.56
pitch_err_cents             1.50
pitch_err_p95_cents         3.01
if_dev_cents                3.14
poly_pitch_err_cents       12.77
sinad_db                   58.78
sinad_poly_db              25.37
subharm_db                -89.66
hf_junk_db               -118.15
am_pp_db                    0.08
am_rate_hz                 10.45
lsd_db                      1.22
pre_echo_db              -145.60
flam_db                     1.66
attack_smear                0.83
disc_db                     0.21
fm_rough_cents              2.72
am_rough_db                 0.30
env_mod_db                  0.35
env_mod_note_db             0.31
env_mod_hi_db               0.59
grain_noise_p90_db        -54.63
level_db                    0.16
nonfinite                   0.00
cpu_ns_per_sample         243.08
cpu_worst_block_pct        29.05

remeasured 104 cases (0 skipped: missing wav/spec)
