== shift:lat [exact_ratio=1,onset_runway=1200]  (313 cases)
metric                      cand
lat_ms                     11.70
lat_ms_max                 60.96
lat_jitter_ms               4.07
pitch_err_cents             0.07
pitch_err_p95_cents         0.11
if_dev_cents                0.17
track_err_cents             6.03
poly_pitch_err_cents        8.32
sinad_db                   68.24
sinad_poly_db              32.76
subharm_db                -98.25
hf_junk_db               -109.28
am_pp_db                    0.05
am_rate_hz                 12.40
lsd_db                      1.78
pre_echo_db              -140.26
flam_db                     1.14
attack_smear                0.93
disc_db                     0.07
level_db                    0.38
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         273.16
cpu_worst_block_pct        83.55

== shift:lat [exact_ratio=1,onset_runway=600]  (313 cases)
metric                      cand
lat_ms                      9.45
lat_ms_max                 60.96
lat_jitter_ms               3.90
pitch_err_cents             0.06
pitch_err_p95_cents         0.10
if_dev_cents                0.16
track_err_cents             5.11
poly_pitch_err_cents        7.71
sinad_db                   68.45
sinad_poly_db              32.86
subharm_db                -98.10
hf_junk_db               -109.25
am_pp_db                    0.08
am_rate_hz                 10.52
lsd_db                      1.84
pre_echo_db              -136.01
flam_db                     1.56
attack_smear                0.95
disc_db                     0.10
level_db                    0.36
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         272.10
cpu_worst_block_pct        30.09

== shift:lat [exact_ratio=1,onset_runway=300]  (313 cases)
metric                      cand
lat_ms                      8.31
lat_ms_max                 60.96
lat_jitter_ms               3.61
pitch_err_cents             0.06
pitch_err_p95_cents         0.11
if_dev_cents                0.17
track_err_cents             5.42
poly_pitch_err_cents        8.20
sinad_db                   68.16
sinad_poly_db              32.95
subharm_db                -97.75
hf_junk_db               -109.17
am_pp_db                    0.08
am_rate_hz                 13.46
lsd_db                      1.90
pre_echo_db              -131.76
flam_db                     1.75
attack_smear                0.99
disc_db                     0.08
level_db                    0.34
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         276.43
cpu_worst_block_pct       109.25

== shift:lat [exact_ratio=1,onset_runway=0]  (313 cases)
metric                      cand
lat_ms                      8.62
lat_ms_max                 60.96
lat_jitter_ms               4.15
pitch_err_cents             0.07
pitch_err_p95_cents         0.10
if_dev_cents                0.16
track_err_cents             6.26
poly_pitch_err_cents        7.83
sinad_db                   68.17
sinad_poly_db              33.17
subharm_db                -97.80
hf_junk_db               -109.18
am_pp_db                    0.08
am_rate_hz                 14.81
lsd_db                      1.90
pre_echo_db              -117.72
flam_db                     2.29
attack_smear                1.26
disc_db                     0.09
level_db                    0.36
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         273.93
cpu_worst_block_pct        64.14

run: results\shift-lat\20260915-152814-full-E11  jobs=1252  render 0s  process 128s  measure 198s
