== shift:lat [exact_ratio=1,onset_runway=300,fallback_corr_window=384,onset_grain=768]  (313 cases)
metric                      cand
lat_ms                      7.41
lat_ms_max                 40.88
lat_jitter_ms               3.81
pitch_err_cents             0.06
pitch_err_p95_cents         0.10
if_dev_cents                0.17
track_err_cents             4.57
poly_pitch_err_cents        8.43
sinad_db                   68.17
sinad_poly_db              33.40
subharm_db                -98.02
hf_junk_db               -109.19
am_pp_db                    0.08
am_rate_hz                 14.44
lsd_db                      1.85
pre_echo_db              -133.79
flam_db                     1.53
attack_smear                0.94
disc_db                     0.04
level_db                    0.35
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         276.20
cpu_worst_block_pct        43.34

== shift:lat [exact_ratio=1,onset_runway=300,fallback_corr_window=384,onset_grain=512]  (313 cases)
metric                      cand
lat_ms                      7.40
lat_ms_max                 39.65
lat_jitter_ms               3.21
pitch_err_cents             0.06
pitch_err_p95_cents         0.10
if_dev_cents                0.18
track_err_cents             4.12
poly_pitch_err_cents        9.01
sinad_db                   68.21
sinad_poly_db              32.73
subharm_db                -97.74
hf_junk_db               -109.03
am_pp_db                    0.08
am_rate_hz                 10.49
lsd_db                      1.78
pre_echo_db              -141.08
flam_db                     1.26
attack_smear                0.93
disc_db                     0.05
level_db                    0.34
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         266.90
cpu_worst_block_pct        59.30

== shift:lat [exact_ratio=1,onset_runway=300,fallback_corr_window=384,onset_grain=384]  (313 cases)
metric                      cand
lat_ms                      7.38
lat_ms_max                 41.66
lat_jitter_ms               3.36
pitch_err_cents             0.06
pitch_err_p95_cents         0.11
if_dev_cents                0.18
track_err_cents             4.67
poly_pitch_err_cents        9.34
sinad_db                   68.25
sinad_poly_db              32.90
subharm_db                -98.01
hf_junk_db               -108.97
am_pp_db                    0.10
am_rate_hz                  9.90
lsd_db                      1.83
pre_echo_db              -141.04
flam_db                     0.90
attack_smear                0.94
disc_db                     0.01
level_db                    0.34
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         267.23
cpu_worst_block_pct        29.91

== shift:lat [exact_ratio=1,onset_runway=300,fallback_corr_window=256,onset_grain=768]  (313 cases)
metric                      cand
lat_ms                      7.08
lat_ms_max                 38.45
lat_jitter_ms               3.46
pitch_err_cents             0.04
pitch_err_p95_cents         0.09
if_dev_cents                0.15
track_err_cents             4.15
poly_pitch_err_cents        9.52
sinad_db                   68.23
sinad_poly_db              32.76
subharm_db                -98.07
hf_junk_db               -109.04
am_pp_db                    0.08
am_rate_hz                 14.82
lsd_db                      1.85
pre_echo_db              -135.57
flam_db                     1.57
attack_smear                0.89
disc_db                     0.06
level_db                    0.35
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         267.39
cpu_worst_block_pct        28.43

== shift:lat [exact_ratio=1,onset_runway=300,fallback_corr_window=256,onset_grain=512]  (313 cases)
metric                      cand
lat_ms                      7.10
lat_ms_max                 48.26
lat_jitter_ms               3.46
pitch_err_cents             0.05
pitch_err_p95_cents         0.09
if_dev_cents                0.16
track_err_cents             3.72
poly_pitch_err_cents        8.48
sinad_db                   68.20
sinad_poly_db              32.90
subharm_db                -98.09
hf_junk_db               -109.10
am_pp_db                    0.08
am_rate_hz                 10.49
lsd_db                      1.78
pre_echo_db              -142.60
flam_db                     1.01
attack_smear                0.93
disc_db                     0.04
level_db                    0.35
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         271.80
cpu_worst_block_pct        35.82

== shift:lat [exact_ratio=1,onset_runway=300,fallback_corr_window=256,onset_grain=384]  (313 cases)
metric                      cand
lat_ms                      7.08
lat_ms_max                 30.50
lat_jitter_ms               3.13
pitch_err_cents             0.06
pitch_err_p95_cents         0.13
if_dev_cents                0.20
track_err_cents             3.95
poly_pitch_err_cents        9.75
sinad_db                   67.83
sinad_poly_db              32.58
subharm_db                -98.25
hf_junk_db               -109.02
am_pp_db                    0.11
am_rate_hz                  9.90
lsd_db                      1.84
pre_echo_db              -141.83
flam_db                     0.83
attack_smear                0.90
disc_db                     0.04
level_db                    0.35
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         267.11
cpu_worst_block_pct        44.82

run: results\shift-lat\20260915-153420-full-E12  jobs=1878  render 0s  process 187s  measure 239s
