== shift:lat_causal [exact_ratio=1,onset_runway=300,fallback_corr_window=384,onset_grain=768,causal_corr=0]  (313 cases)
metric                      cand
lat_ms                      7.41
lat_ms_max                 40.88
lat_jitter_ms               3.81
pitch_err_cents             0.06
pitch_err_p95_cents         0.10
if_dev_cents                0.17
track_err_cents             4.57
poly_pitch_err_cents        8.43
sinad_db                   68.17
sinad_poly_db              33.40
subharm_db                -98.02
hf_junk_db               -109.19
am_pp_db                    0.08
am_rate_hz                 14.44
lsd_db                      1.85
pre_echo_db              -133.79
flam_db                     1.53
attack_smear                0.94
disc_db                     0.04
level_db                    0.35
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         269.65
cpu_worst_block_pct        33.62

== shift:lat_causal [exact_ratio=1,onset_runway=300,fallback_corr_window=384,onset_grain=768,causal_corr=1]  (313 cases)
metric                      cand
lat_ms                      5.11
lat_ms_max                 54.43
lat_jitter_ms               3.23
pitch_err_cents             0.05
pitch_err_p95_cents         0.11
if_dev_cents                0.17
track_err_cents             3.87
poly_pitch_err_cents        9.79
sinad_db                   68.16
sinad_poly_db              33.59
subharm_db                -98.18
hf_junk_db               -108.95
am_pp_db                    0.08
am_rate_hz                 13.11
lsd_db                      1.91
pre_echo_db              -132.12
flam_db                     1.64
attack_smear                0.92
disc_db                     0.07
level_db                    0.35
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         270.02
cpu_worst_block_pct        44.67

== shift:lat_causal [exact_ratio=1,onset_runway=300,fallback_corr_window=384,onset_grain=384,causal_corr=0]  (313 cases)
metric                      cand
lat_ms                      7.38
lat_ms_max                 41.66
lat_jitter_ms               3.36
pitch_err_cents             0.06
pitch_err_p95_cents         0.11
if_dev_cents                0.18
track_err_cents             4.67
poly_pitch_err_cents        9.34
sinad_db                   68.25
sinad_poly_db              32.90
subharm_db                -98.01
hf_junk_db               -108.97
am_pp_db                    0.10
am_rate_hz                  9.90
lsd_db                      1.83
pre_echo_db              -141.04
flam_db                     0.90
attack_smear                0.94
disc_db                     0.01
level_db                    0.34
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         266.09
cpu_worst_block_pct        29.55

== shift:lat_causal [exact_ratio=1,onset_runway=300,fallback_corr_window=384,onset_grain=384,causal_corr=1]  (313 cases)
metric                      cand
lat_ms                      4.96
lat_ms_max                 48.46
lat_jitter_ms               3.34
pitch_err_cents             0.06
pitch_err_p95_cents         0.10
if_dev_cents                0.18
track_err_cents             4.08
poly_pitch_err_cents        9.25
sinad_db                   68.14
sinad_poly_db              32.97
subharm_db                -98.37
hf_junk_db               -109.01
am_pp_db                    0.10
am_rate_hz                  9.02
lsd_db                      1.87
pre_echo_db              -140.43
flam_db                     0.78
attack_smear                0.89
disc_db                     0.08
level_db                    0.36
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         269.13
cpu_worst_block_pct        26.77

== shift:lat_causal [exact_ratio=1,onset_runway=300,fallback_corr_window=256,onset_grain=768,causal_corr=0]  (313 cases)
metric                      cand
lat_ms                      7.08
lat_ms_max                 38.45
lat_jitter_ms               3.46
pitch_err_cents             0.04
pitch_err_p95_cents         0.09
if_dev_cents                0.15
track_err_cents             4.15
poly_pitch_err_cents        9.52
sinad_db                   68.23
sinad_poly_db              32.76
subharm_db                -98.07
hf_junk_db               -109.04
am_pp_db                    0.08
am_rate_hz                 14.82
lsd_db                      1.85
pre_echo_db              -135.57
flam_db                     1.57
attack_smear                0.89
disc_db                     0.06
level_db                    0.35
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         266.41
cpu_worst_block_pct        30.36

== shift:lat_causal [exact_ratio=1,onset_runway=300,fallback_corr_window=256,onset_grain=768,causal_corr=1]  (313 cases)
metric                      cand
lat_ms                      5.08
lat_ms_max                 46.41
lat_jitter_ms               3.22
pitch_err_cents             0.05
pitch_err_p95_cents         0.11
if_dev_cents                0.17
track_err_cents             3.86
poly_pitch_err_cents        8.85
sinad_db                   68.16
sinad_poly_db              33.56
subharm_db                -98.25
hf_junk_db               -108.94
am_pp_db                    0.08
am_rate_hz                 13.11
lsd_db                      1.89
pre_echo_db              -133.63
flam_db                     1.68
attack_smear                0.90
disc_db                     0.04
level_db                    0.36
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         268.03
cpu_worst_block_pct        32.64

== shift:lat_causal [exact_ratio=1,onset_runway=300,fallback_corr_window=256,onset_grain=384,causal_corr=0]  (313 cases)
metric                      cand
lat_ms                      7.08
lat_ms_max                 30.50
lat_jitter_ms               3.13
pitch_err_cents             0.06
pitch_err_p95_cents         0.13
if_dev_cents                0.20
track_err_cents             3.95
poly_pitch_err_cents        9.75
sinad_db                   67.83
sinad_poly_db              32.58
subharm_db                -98.25
hf_junk_db               -109.02
am_pp_db                    0.11
am_rate_hz                  9.90
lsd_db                      1.84
pre_echo_db              -141.83
flam_db                     0.83
attack_smear                0.90
disc_db                     0.04
level_db                    0.35
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         267.44
cpu_worst_block_pct        29.58

== shift:lat_causal [exact_ratio=1,onset_runway=300,fallback_corr_window=256,onset_grain=384,causal_corr=1]  (313 cases)
metric                      cand
lat_ms                      4.86
lat_ms_max                 48.64
lat_jitter_ms               3.07
pitch_err_cents             0.05
pitch_err_p95_cents         0.09
if_dev_cents                0.17
track_err_cents             4.08
poly_pitch_err_cents        9.45
sinad_db                   68.10
sinad_poly_db              32.93
subharm_db                -98.41
hf_junk_db               -109.02
am_pp_db                    0.10
am_rate_hz                  9.02
lsd_db                      1.88
pre_echo_db              -140.65
flam_db                     0.78
attack_smear                0.90
disc_db                     0.07
level_db                    0.36
silence_dbfs             -200.00
nonfinite                   0.00
cpu_ns_per_sample         266.29
cpu_worst_block_pct        41.79

run: results\shift-lat_causal\20260915-154203-full-E13  jobs=2504  render 0s  process 249s  measure 278s
