== shift:smooth [exact_ratio=1,onset_runway=150,fallback_corr_window=256,onset_grain=768,causal_corr=1,guard_samples=24,xfade_frac=0.125,blind_span_cap=538,xfade_min=32]  (104 cases)
metric                      cand
lat_ms                      4.29
lat_ms_max                 31.00
lat_jitter_ms               5.63
pitch_err_cents             1.49
pitch_err_p95_cents         3.16
if_dev_cents                3.25
poly_pitch_err_cents       11.79
sinad_db                   61.94
sinad_poly_db              24.43
subharm_db                -88.88
hf_junk_db               -117.69
am_pp_db                    0.11
am_rate_hz                  1.06
lsd_db                      1.36
pre_echo_db              -138.22
flam_db                     1.30
attack_smear                0.87
disc_db                     0.07
fm_rough_cents              3.26
am_rough_db                 0.31
env_mod_db                  0.38
env_mod_note_db             0.34
env_mod_hi_db               0.60
grain_noise_p90_db        -52.70
level_db                    0.15
nonfinite                   0.00
cpu_ns_per_sample         260.27
cpu_worst_block_pct       106.35

== shift:smooth [exact_ratio=1,onset_runway=150,fallback_corr_window=256,onset_grain=768,causal_corr=1,guard_samples=24,xfade_frac=0.125,blind_span_cap=538,xfade_min=256]  (104 cases)
metric                      cand
lat_ms                      4.39
lat_ms_max                 31.00
lat_jitter_ms               5.53
pitch_err_cents             1.51
pitch_err_p95_cents         3.19
if_dev_cents                3.59
poly_pitch_err_cents       11.94
sinad_db                   61.33
sinad_poly_db              24.30
subharm_db                -87.52
hf_junk_db               -116.96
am_pp_db                    0.13
am_rate_hz                  7.39
lsd_db                      1.34
pre_echo_db              -138.21
flam_db                     1.35
attack_smear                0.89
disc_db                     0.19
fm_rough_cents              3.19
am_rough_db                 0.33
env_mod_db                  0.39
env_mod_note_db             0.35
env_mod_hi_db               0.61
grain_noise_p90_db        -52.66
level_db                    0.16
nonfinite                   0.00
cpu_ns_per_sample         257.28
cpu_worst_block_pct        31.71

== shift:smooth [exact_ratio=1,onset_runway=150,fallback_corr_window=256,onset_grain=768,causal_corr=1,guard_samples=24,xfade_frac=0.125,blind_span_cap=538,xfade_min=768]  (104 cases)
metric                      cand
lat_ms                      5.50
lat_ms_max                 45.24
lat_jitter_ms               5.85
pitch_err_cents             1.51
pitch_err_p95_cents         3.21
if_dev_cents                3.64
poly_pitch_err_cents       11.38
sinad_db                   55.95
sinad_poly_db              24.83
subharm_db                -88.82
hf_junk_db               -117.19
am_pp_db                    0.14
am_rate_hz                 24.11
lsd_db                      1.38
pre_echo_db              -138.73
flam_db                     2.13
attack_smear                1.07
disc_db                     0.35
fm_rough_cents              3.17
am_rough_db                 0.32
env_mod_db                  0.38
env_mod_note_db             0.36
env_mod_hi_db               0.62
grain_noise_p90_db        -53.09
level_db                    0.24
nonfinite                   0.00
cpu_ns_per_sample         255.77
cpu_worst_block_pct        84.63

run: results\shift-smooth\20260915-212405-real-E17  jobs=312  render 0s  process 38s  measure 188s
