== shift:smooth [exact_ratio=1,onset_runway=150,fallback_corr_window=256,onset_grain=768,causal_corr=1,guard_samples=24,xfade_frac=0.125,blind_span_cap=538,xfade_law=0]  (104 cases)
metric                      cand
lat_ms                      4.29
lat_ms_max                 31.00
lat_jitter_ms               5.63
pitch_err_cents             1.49
pitch_err_p95_cents         3.16
if_dev_cents                3.25
poly_pitch_err_cents       11.79
sinad_db                   61.94
sinad_poly_db              24.43
subharm_db                -88.88
hf_junk_db               -117.69
am_pp_db                    0.11
am_rate_hz                  1.06
lsd_db                      1.36
pre_echo_db              -138.22
flam_db                     1.30
attack_smear                0.87
disc_db                     0.07
fm_rough_cents              3.26
am_rough_db                 0.31
env_mod_db                  0.38
env_mod_note_db             0.34
env_mod_hi_db               0.60
grain_noise_p90_db        -52.70
level_db                    0.15
nonfinite                   0.00
cpu_ns_per_sample         263.92
cpu_worst_block_pct        37.32

== shift:smooth [exact_ratio=1,onset_runway=150,fallback_corr_window=256,onset_grain=768,causal_corr=1,guard_samples=24,xfade_frac=0.125,blind_span_cap=538,xfade_law=1]  (104 cases)
metric                      cand
lat_ms                      4.33
lat_ms_max                 31.00
lat_jitter_ms               5.50
pitch_err_cents             1.49
pitch_err_p95_cents         3.16
if_dev_cents                3.25
poly_pitch_err_cents       11.79
sinad_db                   61.93
sinad_poly_db              24.40
subharm_db                -88.93
hf_junk_db               -117.75
am_pp_db                    0.11
am_rate_hz                  1.07
lsd_db                      1.37
pre_echo_db              -137.07
flam_db                     1.19
attack_smear                0.85
disc_db                     0.07
fm_rough_cents              3.07
am_rough_db                 0.32
env_mod_db                  0.38
env_mod_note_db             0.34
env_mod_hi_db               0.60
grain_noise_p90_db        -52.43
level_db                    0.16
nonfinite                   0.00
cpu_ns_per_sample         242.47
cpu_worst_block_pct        37.41

== shift:smooth [exact_ratio=1,onset_runway=150,fallback_corr_window=256,onset_grain=768,causal_corr=1,guard_samples=24,xfade_frac=0.125,blind_span_cap=538,xfade_law=2]  (104 cases)
metric                      cand
lat_ms                      4.34
lat_ms_max                 31.35
lat_jitter_ms               5.62
pitch_err_cents             1.51
pitch_err_p95_cents         3.17
if_dev_cents               11.28
poly_pitch_err_cents       11.81
sinad_db                   25.97
sinad_poly_db              18.99
subharm_db                -55.90
hf_junk_db               -106.20
am_pp_db                    1.30
am_rate_hz                 45.15
lsd_db                      3.84
pre_echo_db              -137.33
flam_db                     1.32
attack_smear                1.38
disc_db                     1.04
fm_rough_cents              4.76
am_rough_db                 0.51
env_mod_db                  0.66
env_mod_note_db             0.65
env_mod_hi_db               0.86
grain_noise_p90_db        -28.01
level_db                    0.28
nonfinite                   0.00
cpu_ns_per_sample         246.25
cpu_worst_block_pct        29.39

run: results\shift-smooth\20260915-212827-real-E18  jobs=312  render 0s  process 38s  measure 160s
