== shift:smooth [exact_ratio=1,onset_runway=150,fallback_corr_window=256,onset_grain=768,causal_corr=1,guard_samples=24,xfade_frac=0.125,blind_span_cap=538,fine_corr_window=64,max_corr_window=256]  (20 cases)
metric                      cand
lat_ms                      3.02
lat_ms_max                  4.70
pitch_err_cents             0.84
pitch_err_p95_cents         1.53
if_dev_cents                1.55
sinad_db                   65.01
subharm_db                -77.86
hf_junk_db               -119.75
am_pp_db                    0.07
am_rate_hz                 27.59
lsd_db                      1.07
pre_echo_db              -214.94
flam_db                     0.74
attack_smear                0.54
disc_db                     0.12
fm_rough_cents              0.62
am_rough_db                 0.08
env_mod_db                  0.56
env_mod_note_db             0.48
env_mod_hi_db               1.26
grain_noise_p90_db        -72.21
level_db                    0.19
nonfinite                   0.00
cpu_ns_per_sample         264.72
cpu_worst_block_pct        26.09

== shift:smooth [exact_ratio=1,onset_runway=150,fallback_corr_window=256,onset_grain=768,causal_corr=1,guard_samples=24,xfade_frac=0.125,blind_span_cap=538,fine_corr_window=64,max_corr_window=512]  (20 cases)
metric                      cand
lat_ms                      3.02
lat_ms_max                  4.70
pitch_err_cents             0.84
pitch_err_p95_cents         1.53
if_dev_cents                1.55
sinad_db                   65.01
subharm_db                -77.86
hf_junk_db               -119.75
am_pp_db                    0.07
am_rate_hz                 27.59
lsd_db                      1.07
pre_echo_db              -214.94
flam_db                     0.74
attack_smear                0.54
disc_db                     0.12
fm_rough_cents              0.62
am_rough_db                 0.08
env_mod_db                  0.56
env_mod_note_db             0.48
env_mod_hi_db               1.26
grain_noise_p90_db        -72.21
level_db                    0.19
nonfinite                   0.00
cpu_ns_per_sample         263.34
cpu_worst_block_pct        23.45

== shift:smooth [exact_ratio=1,onset_runway=150,fallback_corr_window=256,onset_grain=768,causal_corr=1,guard_samples=24,xfade_frac=0.125,blind_span_cap=538,fine_corr_window=256,max_corr_window=256]  (20 cases)
metric                      cand
lat_ms                      3.02
lat_ms_max                  4.70
pitch_err_cents             0.65
pitch_err_p95_cents         1.41
if_dev_cents                1.08
sinad_db                   67.20
subharm_db                -84.21
hf_junk_db               -119.39
am_pp_db                    0.07
am_rate_hz                 27.60
lsd_db                      1.03
pre_echo_db              -214.94
flam_db                     0.76
attack_smear                0.54
disc_db                     0.14
fm_rough_cents              0.28
am_rough_db                 0.08
env_mod_db                  0.57
env_mod_note_db             0.48
env_mod_hi_db               1.26
grain_noise_p90_db        -74.83
level_db                    0.19
nonfinite                   0.00
cpu_ns_per_sample         273.03
cpu_worst_block_pct       118.55

== shift:smooth [exact_ratio=1,onset_runway=150,fallback_corr_window=256,onset_grain=768,causal_corr=1,guard_samples=24,xfade_frac=0.125,blind_span_cap=538,fine_corr_window=256,max_corr_window=512]  (20 cases)
metric                      cand
lat_ms                      3.02
lat_ms_max                  4.70
pitch_err_cents             0.65
pitch_err_p95_cents         1.41
if_dev_cents                1.08
sinad_db                   67.20
subharm_db                -84.21
hf_junk_db               -119.39
am_pp_db                    0.07
am_rate_hz                 27.60
lsd_db                      1.03
pre_echo_db              -214.94
flam_db                     0.76
attack_smear                0.54
disc_db                     0.14
fm_rough_cents              0.28
am_rough_db                 0.08
env_mod_db                  0.57
env_mod_note_db             0.48
env_mod_hi_db               1.26
grain_noise_p90_db        -74.83
level_db                    0.19
nonfinite                   0.00
cpu_ns_per_sample         272.81
cpu_worst_block_pct       106.78

== shift:smooth [exact_ratio=1,onset_runway=150,fallback_corr_window=256,onset_grain=768,causal_corr=1,guard_samples=24,xfade_frac=0.125,blind_span_cap=538,fine_corr_window=512,max_corr_window=256]  (20 cases)
metric                      cand
lat_ms                      3.02
lat_ms_max                  4.70
pitch_err_cents             0.65
pitch_err_p95_cents         1.41
if_dev_cents                1.08
sinad_db                   67.20
subharm_db                -84.21
hf_junk_db               -119.39
am_pp_db                    0.07
am_rate_hz                 27.60
lsd_db                      1.03
pre_echo_db              -214.94
flam_db                     0.76
attack_smear                0.54
disc_db                     0.14
fm_rough_cents              0.28
am_rough_db                 0.08
env_mod_db                  0.57
env_mod_note_db             0.48
env_mod_hi_db               1.26
grain_noise_p90_db        -74.83
level_db                    0.19
nonfinite                   0.00
cpu_ns_per_sample         264.78
cpu_worst_block_pct        95.00

== shift:smooth [exact_ratio=1,onset_runway=150,fallback_corr_window=256,onset_grain=768,causal_corr=1,guard_samples=24,xfade_frac=0.125,blind_span_cap=538,fine_corr_window=512,max_corr_window=512]  (20 cases)
metric                      cand
lat_ms                      3.02
lat_ms_max                  4.70
pitch_err_cents             0.47
pitch_err_p95_cents         1.22
if_dev_cents                0.91
sinad_db                   68.75
subharm_db                -80.42
hf_junk_db               -119.64
am_pp_db                    0.07
am_rate_hz                 27.63
lsd_db                      1.04
pre_echo_db              -214.94
flam_db                     0.76
attack_smear                0.54
disc_db                     0.16
fm_rough_cents              0.32
am_rough_db                 0.09
env_mod_db                  0.57
env_mod_note_db             0.48
env_mod_hi_db               1.26
grain_noise_p90_db        -74.83
level_db                    0.19
nonfinite                   0.00
cpu_ns_per_sample         269.25
cpu_worst_block_pct       117.30

run: results\shift-smooth\20260915-214546-buzzcheck-E22  jobs=120  render 0s  process 14s  measure 86s
