== vst:Archetype Misha Mansoor X [Input Gain=0.5,Output Gain=0.5,Gate Active=0,Doubler Active=0,Special FX Section Active=0,Pre FX Section Active=0,Amp Section Active=0,Cab Section Active=0,EQ Section Active=0,Post FX Section Active=0] (remeasured)  (104 cases)
metric                      cand
lat_ms                      8.30
lat_ms_max                 43.86
lat_jitter_ms               5.40
lat_reported_ms             1.75
pitch_err_cents             1.69
pitch_err_p95_cents         3.31
if_dev_cents                4.80
poly_pitch_err_cents       11.74
sinad_db                   35.87
sinad_poly_db              23.59
subharm_db                -62.11
hf_junk_db               -100.77
am_pp_db                    0.84
am_rate_hz                  2.93
lsd_db                      1.56
pre_echo_db              -130.94
flam_db                     1.57
attack_smear                0.78
disc_db                     1.07
fm_rough_cents              3.08
am_rough_db                 0.47
env_mod_db                  0.49
env_mod_note_db             0.41
env_mod_hi_db               0.41
grain_noise_p90_db        -38.00
level_db                    0.11
nonfinite                   0.00

remeasured 104 cases (0 skipped: missing wav/spec)
