== vst [default]  (40 cases)
metric                      cand
lat_ms                     60.78
lat_ms_max                243.44
lat_jitter_ms              27.98
lat_reported_ms            42.67
pitch_err_cents             0.03
pitch_err_p95_cents         0.06
if_dev_cents               23.19
track_err_cents            19.08
poly_pitch_err_cents        5.58
sinad_db                   24.41
sinad_poly_db              16.68
subharm_db                -84.01
hf_junk_db                -89.36
am_pp_db                    1.42
am_rate_hz                 54.72
lsd_db                      6.83
pre_echo_db                -6.98
flams                       2.70
attack_smear                1.19
disc_db                     0.30
level_db                    5.15
nonfinite                   0.00

run: results\vst\20260915-131252-quick-pipeline  jobs=40  render 2s  process 1s  measure 8s
