== vst [TransBoost=0,Quality=0]  (313 cases)
metric                      cand
lat_ms                     39.88
lat_ms_max                 73.17
lat_jitter_ms               6.27
lat_reported_ms            42.67
pitch_err_cents             0.02
pitch_err_p95_cents         0.03
if_dev_cents               12.89
track_err_cents            10.35
poly_pitch_err_cents        1.88
sinad_db                   31.67
sinad_poly_db              21.40
subharm_db                -97.84
hf_junk_db                -97.76
am_pp_db                    0.43
am_rate_hz                 70.68
lsd_db                      4.51
pre_echo_db               -18.51
flam_db                     1.58
attack_smear                1.92
disc_db                     0.13
level_db                    3.73
silence_dbfs             -200.00
nonfinite                   0.00

== vst [TransBoost=0,Quality=0.333333]  (313 cases)
metric                      cand
lat_ms                     41.35
lat_ms_max                 77.00
lat_jitter_ms               6.58
lat_reported_ms            42.67
pitch_err_cents             0.00
pitch_err_p95_cents         0.01
if_dev_cents                0.63
track_err_cents             6.69
poly_pitch_err_cents        1.41
sinad_db                   54.31
sinad_poly_db              26.23
subharm_db               -114.38
hf_junk_db               -103.71
am_pp_db                    0.04
am_rate_hz                 32.50
lsd_db                      3.95
pre_echo_db               -18.34
flam_db                     1.23
attack_smear                1.91
disc_db                     0.26
level_db                    3.66
silence_dbfs             -200.00
nonfinite                   0.00

== vst [TransBoost=0,Quality=0.666667]  (313 cases)
metric                      cand
lat_ms                     40.99
lat_ms_max                 67.71
lat_jitter_ms               6.20
lat_reported_ms            42.67
pitch_err_cents             0.00
pitch_err_p95_cents         0.00
if_dev_cents                0.34
track_err_cents             4.68
poly_pitch_err_cents        1.64
sinad_db                   69.94
sinad_poly_db              27.35
subharm_db               -122.89
hf_junk_db               -109.01
am_pp_db                    0.03
am_rate_hz                 32.61
lsd_db                      3.69
pre_echo_db               -17.62
flam_db                     1.34
attack_smear                1.93
disc_db                     0.11
level_db                    3.30
silence_dbfs             -200.00
nonfinite                   0.00

== vst [TransBoost=0,Quality=1]  (313 cases)
metric                      cand
lat_ms                     41.06
lat_ms_max                 68.04
lat_jitter_ms               6.04
lat_reported_ms            42.67
pitch_err_cents             0.00
pitch_err_p95_cents         0.00
if_dev_cents                0.31
track_err_cents             4.72
poly_pitch_err_cents        1.43
sinad_db                   81.04
sinad_poly_db              27.86
subharm_db               -126.94
hf_junk_db               -114.47
am_pp_db                    0.02
am_rate_hz                 13.95
lsd_db                      3.68
pre_echo_db               -18.84
flam_db                     1.24
attack_smear                1.80
disc_db                     0.08
level_db                    3.16
silence_dbfs             -200.00
nonfinite                   0.00

run: results\vst\20260915-133134-full-qsweep  jobs=1252  render 0s  process 163s  measure 352s
